time,high,low,open,volumefrom,volumeto,close,sma,ema,macd,rsi,target
2023-05-03,1916.17,1844.78,1871.76,233750.96,438240180.13,0.14511621647297257,0.1462201118720856,0.14575798673962248,0.2634429331040979,0.0,0
2023-05-04,1917.18,1868.88,1906.04,166275.76,314539294.6,0.13425060958231738,0.1403605317467569,0.143563199547448,0.25838139670233967,0.0,1
2023-05-05,2000.29,1877.51,1878.59,349046.71,680967049.89,0.18077678203869663,0.15513435835783185,0.15116547136868785,0.2761468197512126,0.8719353120878998,0
2023-05-06,2018.09,1866.45,1996.13,259808.91,501429621.42,0.14349330251116255,0.15246819603486794,0.14985447349320258,0.2725530247220817,0.5285638468919835,0
2023-05-07,1938.6,1877.94,1901.94,164250.83,313882607.91,0.13459894233509617,0.14894988639458862,0.14698523164710753,0.2654902860425471,0.48317179782008274,0
2023-05-08,1893.06,1815.78,1879.47,358039.78,664714401.47,0.12449333417777642,0.14478777006367205,0.14259639811421743,0.25522596422437244,0.4402183330998839,0
2023-05-09,1863.13,1838.55,1853.94,183036.48,338236687.64,0.122502295829507,0.14150805191389781,0.13860335655222544,0.24635026995451634,0.43264056979441046,0
2023-05-10,1888.41,1792.58,1848.91,333023.49,615019660.03,0.12001250831248611,0.13871259154393212,0.13483340045447179,0.23843134643564098,0.42352395611264526,0
2023-05-11,1843.1,1773.59,1842.62,241294.66,435960460.99,0.10136483105861493,0.13430361623732467,0.12798217235443288,0.2238254280201646,0.36579352709593077,1
2023-05-12,1816.48,1740.86,1795.51,263545.14,467334013.56,0.10641961430064284,0.13132162242701462,0.1233976578810767,0.21518820086142482,0.3910845051343833,0
2023-05-13,1816.94,1787.56,1808.28,96551.76,173889132.85,0.10159045568257385,0.12662712748653238,0.11867123051948558,0.2067214822906066,0.3782094688058186,1
2023-05-14,1824.28,1792.12,1796.08,93964.15,169553393.6,0.10320545299091177,0.12327873499669983,0.11513037332294207,0.20148672741778326,0.3858035814623945,1
2023-05-15,1846.84,1786.44,1800.16,207683.14,379365245.9,0.10988710852148575,0.11563289015411227,0.11358296254445854,0.20120399957115997,0.41554044467852175,1
