time,high,low,open,volumefrom,volumeto,close
2023-05-03,29278.11,28151.97,28694.7,40257.03,1150554649.51,29041.65
2023-05-04,29376.48,28702.7,29041.65,27573.93,799149017.42,28865.72
2023-05-05,29701.05,28852.44,28865.72,35426.26,1039027772.96,29548.51
2023-05-06,29853.13,28449.95,29548.51,24527.41,713641803.94,28943.98
2023-05-07,29212.06,28547.22,28943.98,16604.62,480627306.93,28572.81
2023-05-08,28786.01,27396.42,28572.81,40605.62,1136175854.67,27783.42
2023-05-09,27963.87,27510.12,27783.42,22925.76,634693185.14,27680.21
2023-05-10,28330.36,26840.62,27680.21,41945.8,1162217682.96,27628.73
2023-05-11,27642.56,26731.83,27628.73,29504.51,802346192.21,26991.62
2023-05-12,27092.93,25833.3,26991.62,42526.8,1123450368.34,26807.09
2023-05-13,27043.5,26705.45,26807.09,12502.23,335722601.8,26788.88
2023-05-14,27189.55,26611.92,26788.88,11877.98,319668371.39,26931.44
2023-05-15,27668.19,26759.29,26931.44,27959.1,764041771.98,27176.27
2023-05-16,27304.97,26869.45,27176.27,23994.43,649282623.49,27036.57
2023-05-17,27488.05,26565.39,27036.57,29196.37,788279620.49,27406.21
2023-05-18,27476.67,26379.63,27406.21,27707.43,749234030.86,26823.31
2023-05-19,27178.6,26668.92,26823.31,16460.59,442561192.0,26888.42
2023-05-20,27164.5,26840.23,26888.42,7375.52,199050865.32,27118.54
2023-05-21,27280.07,26691.06,27118.54,11973.11,322799242.35,26755.17
2023-05-22,27084.08,26548.27,26755.17,17684.89,474287648.56,26855.4
2023-05-23,27480.33,26808.03,26855.4,21235.04,578611517.74,27224.7
2023-05-24,27225.89,26092.06,27224.7,31836.22,843296169.29,26326.17
2023-05-25,26605.5,25882.27,26326.17,22984.71,604389199.53,26480.21
2023-05-26,26940.67,26338.96,26480.21,20356.54,542617989.88,26719.7
2023-05-27,26902.14,26585.34,26719.7,7427.77,198605797.63,26872.59
2023-05-28,28249.51,26789.58,26872.59,19785.88,543751511.42,28077.57
2023-05-29,28450.88,27546.65,28077.57,21644.99,604161699.4,27746.07
2023-05-30,28052.68,27568.98,27746.07,23615.79,656814149.04,27703.56
2023-05-31,27836.82,26853.57,27703.56,28352.48,770131646.3,27220.17
2023-06-01,27347.94,26628.22,27220.17,23979.7,645324727.67,26825.73
2023-06-02,27305.0,26519.23,26825.73,23786.38,643162971.0,27251.14
2023-06-03,27330.86,26946.35,27251.14,8092.89,219785033.16,27078.3
2023-06-04,27451.16,26964.17,27078.3,9147.43,248793311.51,27125.24
2023-06-05,27135.1,25411.77,27125.24,37219.66,973121005.98,25740.46
2023-06-06,27379.88,25380.61,25740.46,38336.34,1007782393.96,27269.02
2023-06-07,27423.02,26132.38,27269.02,30599.1,816508052.84,26348.91
2023-06-08,26816.33,26225.25,26348.91,15156.05,401604313.0,26509.09
2023-06-09,26777.91,26290.32,26509.09,16583.88,439912147.38,26483.81
2023-06-10,26533.58,25424.05,26483.81,31361.96,809187356.13,25856.18
2023-06-11,26214.2,25655.94,25856.18,13172.72,341057974.45,25937.58
2023-06-12,26099.5,25629.48,25937.58,17060.82,441188405.58,25905.64
2023-06-13,26425.22,25717.6,25905.64,23047.35,599487905.69,25928.94
2023-06-14,26074.14,24836.48,25928.94,26761.01,684056303.1,25125.73
2023-06-15,25740.96,24765.75,25125.73,32804.74,824201465.11,25574.36
2023-06-16,26479.27,25205.5,25574.36,27648.16,715401866.52,26330.59
2023-06-17,26780.79,26170.91,26330.59,12515.48,331591669.75,26510.43
2023-06-18,26686.77,26260.74,26510.43,9378.95,248624880.04,26338.0
2023-06-19,27036.32,26265.34,26338.0,17956.62,477713441.96,26842.09
2023-06-20,28407.13,26648.29,26842.09,45985.63,1265530107.38,28319.35
2023-06-21,30780.84,28276.59,28319.35,57981.94,1710075101.48,30000.55
2023-06-22,30499.85,29611.53,30000.55,34380.15,1034077333.64,29892.81
2023-06-23,31416.26,29818.21,29892.81,41294.22,1263857697.39,30705.39
2023-06-24,30811.37,30276.97,30705.39,13046.45,399256498.04,30548.2
2023-06-25,31051.66,30297.61,30548.2,13393.19,410384145.76,30473.64
2023-06-26,30658.58,29930.89,30473.64,21681.68,656487409.95,30271.91
2023-06-27,31013.13,30232.66,30271.91,22312.5,683163079.08,30696.99
2023-06-28,30714.46,29862.15,30696.99,19096.02,577536151.3,30078.9
2023-06-29,30833.99,30043.07,30078.9,21447.12,654120553.86,30447.17
2023-06-30,31272.25,29465.7,30447.17,47299.15,1438707503.25,30471.06
2023-07-01,30653.27,30321.27,30471.06,7261.71,221634243.18,30590.76
2023-07-02,30788.75,30181.34,30590.76,8660.66,264438993.35,30617.66
2023-07-03,31388.17,30575.7,30617.66,19619.43,606995802.76,31160.24
2023-07-04,31331.3,30638.68,31160.24,13276.48,411450957.26,30774.39
2023-07-05,30877.17,30201.06,30774.39,15878.7,484235780.2,30503.07
2023-07-06,31521.11,29869.18,30503.07,30802.77,942103548.67,29907.98
2023-07-07,30450.48,29725.12,29907.98,19368.34,584908167.72,30349.69
2023-07-08,30383.67,30056.18,30349.69,6360.91,192238272.3,30294.36
2023-07-09,30441.0,30074.68,30294.36,7139.62,216124236.01,30171.49
2023-07-10,31045.4,29964.03,30171.49,22193.83,674592681.26,30421.04
2023-07-11,30805.91,30314.1,30421.04,17665.77,539220942.45,30626.62
2023-07-12,30977.57,30214.19,30626.62,24693.12,755704294.14,30385.22
2023-07-13,31844.94,30259.09,30385.22,42344.72,1314075890.88,31475.78
2023-07-14,31636.78,29929.3,31475.78,33129.0,1021600213.08,30331.09
2023-07-15,30403.12,30258.91,30331.09,4925.15,149344124.18,30298.45
2023-07-16,30450.66,30083.92,30298.45,7411.25,224532522.64,30248.17
2023-07-17,30340.04,29675.15,30248.17,18560.1,558752237.54,30147.68
2023-07-18,30244.13,29538.16,30147.68,18759.37,560798877.42,29863.79
2023-07-19,30193.82,29765.06,29863.79,14893.37,446435257.92,29918.6
2023-07-20,30417.9,29577.88,29918.6,19269.41,577250260.25,29809.61
2023-07-21,30060.04,29737.09,29809.61,13254.74,395907301.04,29911.46
2023-07-22,30000.3,29635.44,29911.46,6111.68,182484169.27,29791.61
2023-07-23,30345.9,29738.58,29791.61,8140.53,244328645.64,30085.68
2023-07-24,30097.78,28860.94,30085.68,25436.68,744538575.95,29181.04
2023-07-25,29367.59,29054.49,29181.04,12141.51,354541899.17,29226.63
2023-07-26,29682.98,29098.81,29226.63,16583.36,486510821.91,29352.06
2023-07-27,29566.99,29082.04,29352.06,12727.55,373268935.18,29217.05
2023-07-28,29528.45,29121.24,29217.05,11707.43,342975082.63,29316.82
2023-07-29,29406.57,29258.14,29316.82,4989.17,146316009.97,29358.76
2023-07-30,29449.84,29043.43,29358.76,7661.41,224246250.77,29283.34
2023-07-31,29524.99,29108.82,29283.34,14553.25,426457343.16,29231.47
2023-08-01,29721.48,28564.09,29231.47,28319.33,822433494.24,29699.74
2023-08-02,30029.06,28914.46,29699.74,28507.89,838251477.68,29163.69
2023-08-03,29397.03,28945.61,29163.69,15427.08,450334651.17,29177.75
2023-08-04,29308.95,28794.51,29177.75,12900.38,375805085.38,29078.51
2023-08-05,29111.36,28953.98,29078.51,4135.0,120051247.27,29050.34
2023-08-06,29164.68,28962.89,29050.34,4361.16,126689336.09,29046.16
2023-08-07,29245.27,28672.37,29046.16,16388.65,475156597.17,29182.16
2023-08-08,30210.36,29111.88,29182.16,26561.94,786792606.34,29770.51
2023-08-09,30120.86,29356.43,29770.51,17933.09,532770863.32,29566.47
2023-08-10,29707.55,29319.58,29566.47,12722.06,375142806.93,29428.1
2023-08-11,29535.4,29219.56,29428.1,10550.47,310027638.11,29403.56
2023-08-12,29471.12,29356.08,29403.56,3495.96,102819295.5,29417.08
2023-08-13,29447.27,29257.12,29417.08,3928.8,115373186.78,29281.55
2023-08-14,29664.61,29082.39,29281.55,12333.02,362522208.47,29409.22
2023-08-15,29460.86,29056.77,29409.22,10214.85,299026558.28,29171.23
2023-08-16,29228.22,28696.21,29171.23,16506.96,479152538.98,28702.8
2023-08-17,28752.02,25328.06,28702.8,50603.71,1394530695.43,26629.67
2023-08-18,26823.13,25629.62,26629.67,33853.32,888090076.41,26049.69
2023-08-19,26266.25,25797.39,26049.69,10190.62,265159375.46,26095.8
2023-08-20,26291.33,25983.85,26095.8,7358.66,192271431.08,26191.01
2023-08-21,26248.2,25819.92,26191.01,16512.71,430024076.12,26126.18
